month,Alberta_FT_F,Alberta_FT_M,Alberta_PT_F,Alberta_PT_M,British Columbia_FT_F,British Columbia_FT_M,British Columbia_PT_F,British Columbia_PT_M,Manitoba_FT_F,Manitoba_FT_M,Manitoba_PT_F,Manitoba_PT_M,New Brunswick_FT_F,New Brunswick_FT_M,New Brunswick_PT_F,New Brunswick_PT_M,Newfoundland and Labrador_FT_F,Newfoundland and Labrador_FT_M,Newfoundland and Labrador_PT_F,Newfoundland and Labrador_PT_M,Nova Scotia_FT_F,Nova Scotia_FT_M,Nova Scotia_PT_F,Nova Scotia_PT_M,Ontario_FT_F,Ontario_FT_M,Ontario_PT_F,Ontario_PT_M,Prince Edward Island_FT_F,Prince Edward Island_FT_M,Prince Edward Island_PT_F,Prince Edward Island_PT_M,Quebec_FT_F,Quebec_FT_M,Quebec_PT_F,Quebec_PT_M,Saskatchewan_FT_F,Saskatchewan_FT_M,Saskatchewan_PT_F,Saskatchewan_PT_M
1976-01,217.9,475.8,89.2,36.7,274.6,602.5,104.7,47.9,119.8,249.2,45.0,13.4,62.7,139.0,21.6,6.3,42.1,107.8,8.6,3.8,84.6,180.8,25.7,11.9,1084.1,2124.9,342.6,155.7,12.7,24.5,3.8,1.7,727.0,1588.7,152.6,77.2,93.3,218.9,38.6,18.7
1976-02,223.3,481.0,89.6,36.8,278.1,602.7,110.9,49.9,121.0,252.4,38.7,13.3,65.1,143.1,19.7,4.9,41.9,106.0,8.9,4.4,83.6,179.0,26.1,11.4,1084.3,2135.0,345.2,148.8,13.0,24.7,3.2,1.8,730.1,1584.0,146.7,75.5,95.0,224.3,38.2,18.0
1976-03,225.7,485.7,92.4,38.0,283.1,608.1,105.9,50.4,120.1,254.4,41.8,15.8,63.9,142.7,18.6,5.6,41.5,108.1,8.4,3.7,84.4,181.1,25.2,10.5,1089.9,2143.9,351.1,143.4,12.7,24.7,4.1,2.1,737.2,1585.7,148.6,73.8,92.6,224.0,37.7,17.5
1976-04,229.8,489.4,89.0,37.9,283.0,608.0,107.1,50.5,122.5,253.0,44.4,15.3,64.4,144.5,18.5,5.6,43.2,107.4,6.7,3.9,85.1,181.1,25.0,11.5,1077.6,2157.1,354.4,146.6,12.5,25.2,3.6,1.6,736.4,1594.8,154.8,66.0,97.9,227.1,36.9,18.7
1976-05,231.4,493.6,85.7,38.8,286.9,616.0,104.9,40.6,118.1,251.0,46.3,16.9,64.8,140.4,18.1,7.4,42.7,106.5,7.0,4.4,81.3,178.9,25.4,12.4,1075.6,2151.3,362.3,145.0,12.0,25.1,3.7,2.0,749.7,1579.9,149.3,68.8,96.8,227.8,38.3,19.1
1976-06,233.7,499.9,85.9,34.6,281.3,610.5,114.1,47.1,120.8,251.2,46.8,16.7,64.6,142.0,18.3,6.5,43.3,102.9,8.1,4.7,78.7,175.7,29.3,11.3,1071.4,2150.6,368.8,154.4,11.7,24.3,3.7,2.3,755.7,1574.2,149.1,70.5,97.6,229.3,38.9,18.2
1976-07,235.9,503.7,87.7,31.2,277.6,613.8,121.1,55.5,122.8,250.9,45.5,18.6,64.2,140.0,18.4,7.5,40.3,103.0,9.1,3.3,79.3,179.3,26.2,9.5,1092.8,2159.9,342.1,146.6,11.4,24.7,4.2,2.0,752.0,1573.1,158.0,66.6,88.4,231.3,42.9,19.3
1976-08,235.8,503.4,90.4,31.7,282.7,631.5,117.3,46.0,128.9,251.2,40.9,18.7,65.2,141.7,18.0,7.8,41.8,102.3,8.6,3.7,82.2,175.8,25.0,10.9,1098.3,2154.9,351.9,149.3,11.3,24.5,4.3,2.2,744.1,1561.0,161.4,68.1,95.1,230.1,41.1,21.3
1976-09,239.6,508.9,92.0,34.7,288.4,628.4,111.6,44.9,127.5,250.2,41.3,18.1,65.0,142.5,17.8,7.2,42.6,103.1,8.6,3.6,83.5,176.8,25.9,10.9,1089.2,2161.1,355.3,148.1,12.0,25.5,4.1,2.0,742.1,1565.5,158.1,69.6,97.8,233.0,39.0,20.0
1976-10,231.9,509.6,93.6,35.1,289.1,632.5,113.9,45.7,124.7,249.0,44.2,18.5,63.8,142.0,17.9,6.9,42.7,102.4,9.0,3.9,82.9,177.0,25.8,11.3,1091.2,2143.2,362.1,147.6,11.7,25.0,4.2,2.4,748.8,1548.5,163.5,78.1,93.1,228.6,41.3,19.6
